Date Time,min,max,mean,id
2022-02-11,4.334,5.6,5.040233,8770475
2022-02-16,5.056,6.276,5.719546,8770475
2022-02-21,5.269,6.112,5.7292166,8770475
2022-02-01,4.482,5.686,5.0756416,8770520
2022-02-06,4.137,4.872,4.6708,8770520
2022-02-11,3.576,4.81,4.3198833,8770520
2022-02-16,4.016,5.518,5.003433,8770520
2022-02-21,4.606,5.354,5.0251665,8770520
2022-02-01,3.274,6.024,5.093471,8770822
2022-02-06,4.285,5.167,4.7086625,8770822
2022-02-11,2.936,5.082,4.236325,8770822
2022-02-16,3.743,5.764,4.9249835,8770822
2022-02-21,4.091,5.476,4.879038,8770822
2022-02-01,4.419,12.986,9.199692,9414290
2022-02-06,6.578,11.503,8.916896,9414290
2022-02-11,6.165,11.624,9.299992,9414290
2022-02-16,5.413,12.001,9.0934,9414290
2022-02-21,6.841,11.535,8.872566,9414290
2022-02-01,4.839,16.283,11.225067,9414523
2022-02-06,7.333,14.383,10.860513,9414523
2022-02-11,7.073,14.409,11.327058,9414523
2022-02-16,6.043,15.154,11.126475,9414523
2022-02-21,7.71,14.603,10.928454,9414523
2022-02-01,1.65,11.03,6.7924876,9414750
2022-02-06,3.799,9.469,6.4904456,9414750
2022-02-11,3.363,9.56,6.903375,9414750
2022-02-16,2.602,10.003,6.6900167,9414750
2022-02-21,4.163,9.61,6.5021377,9414750
2022-02-01,10.128,18.652,14.945831,9414863
2022-02-06,12.169,17.244,14.61902,9414863
2022-02-11,11.686,17.415,15.018896,9414863
2022-02-16,11.043,17.713,14.820337,9414863
2022-02-21,12.434,17.323,14.594746,9414863
2022-02-01,34.367,41.191,38.037678,9415102
2022-02-06,35.328,39.967,37.658916,9415102
2022-02-11,35.167,40.217,38.07964,9415102
2022-02-16,34.839,40.495,37.911484,9415102
2022-02-21,35.748,40.066,37.73945,9415102
2022-02-01,3.415,9.475,6.600333,9415144
2022-02-06,4.068,8.343,6.1555457,9415144
2022-02-11,3.737,8.635,6.546225,9415144
2022-02-16,3.753,8.855,6.456829,9415144
2022-02-21,4.436,8.504,6.3452044,9415144
2022-02-01,2.923,12.946,8.06745,8670870
2022-02-06,5.03,11.362,8.360346,8670870
2022-02-11,5.079,10.295,7.494029,8670870
2022-02-16,3.927,11.634,7.766525,8670870
2022-02-21,3.471,11.401,7.8716583,8670870
2022-02-01,579.108,579.678,579.34863,9075099
2022-02-06,579.068,579.469,579.2704,9075099
2022-02-11,578.983,579.56,579.28485,9075099
2022-02-16,578.967,579.423,579.18866,9075099
2022-02-21,578.819,579.088,578.9571,9075099
2022-02-01,579.199,579.859,579.5244,9076024
2022-02-06,579.16,579.708,579.4279,9076024
2022-02-11,579.098,579.783,579.4519,9076024
2022-02-16,579.062,579.577,579.34406,9076024
2022-02-21,578.819,579.383,579.097,9076024
2022-02-01,579.58,579.974,579.74335,9076027
2022-02-06,579.452,579.78,579.61316,9076027
2022-02-11,579.406,579.823,579.62225,9076027
2022-02-16,579.298,579.626,579.4854,9076027
2022-02-21,579.117,579.485,579.3201,9076027
2022-02-01,580.108,580.453,580.2694,9076033
2022-02-06,579.934,580.203,580.1067,9076033
2022-02-11,579.905,580.279,580.1082,9076033
2022-02-16,579.826,580.049,579.95825,9076033
2022-02-21,579.774,580.174,579.92145,9076033
2022-02-01,580.22,580.568,580.3786,9076060
2022-02-06,580.033,580.308,580.2053,9076060
2022-02-11,579.997,580.371,580.2039,9076060
2022-02-16,579.911,580.144,580.0461,9076060
2022-02-21,579.869,580.289,580.01447,9076060
2022-02-01,599.311,600.843,600.11786,9076070
2022-02-06,600.016,600.804,600.3739,9076070
2022-02-11,599.787,601.211,600.37506,9076070
2022-02-16,599.167,600.797,600.22833,9076070
2022-02-21,599.823,601.155,600.4657,9076070
2022-02-01,600.016,601.283,600.69635,9099004
2022-02-06,600.574,601.207,600.88885,9099004
2022-02-11,600.374,601.696,600.91315,9099004
2022-02-16,600.246,601.22,600.77423,9099004
2022-02-21,600.479,601.496,600.9709,9099004
2022-02-01,-2.904,13.192,7.189708,9446484
2022-02-06,2.26,12.612,7.140196,9446484
2022-02-11,1.079,10.617,7.2494793,9446484
2022-02-16,-0.715,12.306,7.1408625,9446484
2022-02-21,2.398,12.822,7.423729,9446484
2022-02-01,0.207,3.57,1.9171125,8726384
2022-02-06,0.551,2.349,1.4453292,8726384
2022-02-11,0.059,2.497,1.3563833,8726384
2022-02-16,0.154,2.536,1.5768917,8726384
2022-02-21,0.751,2.575,1.5372583,8726384
